"Budget","Species","Design","N","n","BPUE","s2","Bycatch","Power"
3500000,"Steller SL","FIXED_FMP.CWB",2827,172,"9.27e-04","6.87e-06",3,0.15
3500000,"Steller SL","FIXED_FMP.EQUAL",2827,166,"9.27e-04","6.86e-06",3,0.15
3500000,"Steller SL","FIXED_FMP.PROX",2827,167,"9.27e-04","8.79e-06",3,0.15
3500000,"Steller SL","FIXED_FMP.STATUS_QUO",2827,80,"9.27e-04","1.49e-05",3,0.07
3500000,"Steller SL","FMP.CWB",2827,175,"7.86e-04","4.89e-06",3,0.14
3500000,"Steller SL","FMP.EQUAL",2827,166,"7.86e-04","5.28e-06",3,0.13
3500000,"Steller SL","FMP.PROX",2827,158,"7.86e-04","7.87e-06",3,0.12
3500000,"Steller SL","FMP.STATUS_QUO",2827,80,"7.86e-04","1.16e-05",3,0.06
4500000,"Laysan Alb.","CURRENT.CWB",4670,480,"8.96e-03","4.33e-05",42,0.98
4500000,"Laysan Alb.","CURRENT.EQUAL",4670,422,"8.96e-03","5.16e-05",42,0.97
4500000,"Laysan Alb.","CURRENT.PROX",4670,480,"8.96e-03","5.01e-05",42,0.98
4500000,"Laysan Alb.","CURRENT.STATUS_QUO",4670,751,"8.96e-03","6.56e-05",42,0.99
4500000,"Laysan Alb.","FIXED_FMP.CWB",4670,461,"9.57e-03","3.54e-05",45,0.98
4500000,"Laysan Alb.","FIXED_FMP.EQUAL",4670,423,"9.57e-03","4.41e-05",45,0.98
4500000,"Laysan Alb.","FIXED_FMP.PROX",4670,455,"9.57e-03","3.59e-05",45,0.98
4500000,"Laysan Alb.","FIXED_FMP.STATUS_QUO",4670,750,"9.57e-03","5.35e-05",45,0.99
4500000,"Laysan Alb.","FMP.CWB",4670,475,"7.77e-03","2.98e-05",37,0.97
4500000,"Laysan Alb.","FMP.EQUAL",4670,424,"7.77e-03","3.97e-05",37,0.96
4500000,"Laysan Alb.","FMP.PROX",4670,432,"7.77e-03","2.37e-05",37,0.96
4500000,"Laysan Alb.","FMP.STATUS_QUO",4670,749,"7.77e-03","5.35e-05",37,0.99
4500000,"Short-tailed Alb.","CURRENT.CWB",4670,480,"9.31e-07","2.10e-12",1,0.1
4500000,"Short-tailed Alb.","CURRENT.EQUAL",4670,422,"9.31e-07","2.29e-12",1,0.09
4500000,"Short-tailed Alb.","CURRENT.PROX",4670,480,"9.31e-07","2.42e-12",1,0.1
4500000,"Short-tailed Alb.","CURRENT.STATUS_QUO",4670,751,"9.31e-07","3.52e-12",1,0.16
4500000,"Short-tailed Alb.","FIXED_FMP.CWB",4670,461,"8.27e-07","8.25e-13",1,0.09
4500000,"Short-tailed Alb.","FIXED_FMP.EQUAL",4670,423,"8.27e-07","1.32e-12",1,0.09
4500000,"Short-tailed Alb.","FIXED_FMP.PROX",4670,455,"8.27e-07","5.14e-13",1,0.09
