"Budget","Metric","Design","Method_Gear-FMP","N","n","Effect","EPM","Power"
3500000,"RETAINED_CATCH","CURRENT.EQUAL","OB_HAL",1352,79,1.03,15.9,0.25
3500000,"SPECIES","CURRENT.EQUAL","OB_HAL",1352,79,-0.23,-8.1,0.22
3500000,"DURATION","CURRENT.EQUAL","OB_POT",1086,64,0.71,16.1,0.29
3500000,"RETAINED_CATCH","CURRENT.EQUAL","OB_POT",1086,64,4.61,20.3,0.2
3500000,"SPECIES","CURRENT.EQUAL","OB_POT",1086,64,-0.16,-7.5,0.15
3500000,"DURATION","CURRENT.EQUAL","OB_TRW",389,23,0.24,12.4,0.14
3500000,"RETAINED_CATCH","CURRENT.EQUAL","OB_TRW",389,23,0.92,0.9,0.05
3500000,"SPECIES","CURRENT.EQUAL","OB_TRW",389,23,-0.51,-10.7,0.14
3500000,"DURATION","CURRENT.PROX","EM_HAL",722,63,0.25,6.3,0.14
3500000,"RETAINED_CATCH","CURRENT.PROX","EM_HAL",722,63,-0.26,-3.6,0.06
3500000,"SPECIES","CURRENT.PROX","EM_HAL",722,63,-0.16,-5.2,0.11
3500000,"DURATION","CURRENT.PROX","EM_POT",353,54,-0.01,-0.3,0.05
3500000,"RETAINED_CATCH","CURRENT.PROX","EM_POT",353,54,-3.09,-13.7,0.14
3500000,"SPECIES","CURRENT.PROX","EM_POT",353,54,-0.23,-10,0.23
3500000,"DURATION","CURRENT.PROX","EM_TRW",768,20,-0.12,-7,0.05
3500000,"RETAINED_CATCH","CURRENT.PROX","EM_TRW",768,20,-4.39,-3.9,0.05
3500000,"SPECIES","CURRENT.PROX","EM_TRW",768,20,-0.16,-3.2,0.06
3500000,"DURATION","CURRENT.PROX","OB_HAL",1352,75,0.78,20.7,0.6
3500000,"RETAINED_CATCH","CURRENT.PROX","OB_HAL",1352,75,1.03,15.9,0.24
3500000,"SPECIES","CURRENT.PROX","OB_HAL",1352,75,-0.23,-8.1,0.21
3500000,"DURATION","CURRENT.PROX","OB_POT",1086,70,0.71,16.1,0.31
3500000,"RETAINED_CATCH","CURRENT.PROX","OB_POT",1086,70,4.61,20.3,0.21
3500000,"SPECIES","CURRENT.PROX","OB_POT",1086,70,-0.16,-7.5,0.16
3500000,"DURATION","CURRENT.PROX","OB_TRW",389,25,0.24,12.4,0.14
3500000,"RETAINED_CATCH","CURRENT.PROX","OB_TRW",389,25,0.92,0.9,0.05
3500000,"SPECIES","CURRENT.PROX","OB_TRW",389,25,-0.51,-10.7,0.14
3500000,"DURATION","CURRENT.STATUS_QUO","EM_HAL",722,217,0.25,6.3,0.28
3500000,"RETAINED_CATCH","CURRENT.STATUS_QUO","EM_HAL",722,217,-0.26,-3.6,0.09
3500000,"SPECIES","CURRENT.STATUS_QUO","EM_HAL",722,217,-0.16,-5.2,0.21
3500000,"DURATION","CURRENT.STATUS_QUO","EM_POT",353,106,-0.01,-0.3,0.05
3500000,"RETAINED_CATCH","CURRENT.STATUS_QUO","EM_POT",353,106,-3.09,-13.7,0.19
3500000,"SPECIES","CURRENT.STATUS_QUO","EM_POT",353,106,-0.23,-10,0.35
